"isEnabled","name","datatype","instanceType","label","uuid:ID","id","isRequired"
"True","LBORRESU","","BiomedicalConceptProperty","LBORRESU","10ae8a0d-bec9-4be1-b5ce-bbe6358e67ae","BiomedicalConceptProperty_157","True"
"True","LBSPEC","","BiomedicalConceptProperty","LBSPEC","e5771411-9439-4726-a2f8-2477ed2d8a24","BiomedicalConceptProperty_158","True"
"True","LBFAST","","BiomedicalConceptProperty","LBFAST","7faaa315-065a-41fa-b60e-596e46e1326a","BiomedicalConceptProperty_159","True"
"True","LBTESTCD","","BiomedicalConceptProperty","LBTESTCD","4ed412bf-ac6c-4089-a3cc-53e7faefd8a1","BiomedicalConceptProperty_160","True"
"True","LBORRES","float","BiomedicalConceptProperty","LBORRES","d1cb5f65-7764-4ea8-801c-b7666cc93282","BiomedicalConceptProperty_161","True"
"True","LBORRESU","","BiomedicalConceptProperty","LBORRESU","fb83694c-f412-4181-b770-59f66a249818","BiomedicalConceptProperty_162","True"
"True","LBSPEC","","BiomedicalConceptProperty","LBSPEC","dec7a998-84ad-463f-a1cc-03e9590b34c7","BiomedicalConceptProperty_163","True"
"True","LBFAST","","BiomedicalConceptProperty","LBFAST","8a5c3e67-b861-4f17-b291-77eec381a40c","BiomedicalConceptProperty_164","True"
"True","LBTESTCD","","BiomedicalConceptProperty","LBTESTCD","f51f7a6c-97a5-4e20-a389-85028956a9a7","BiomedicalConceptProperty_165","True"
"True","LBORRES","float","BiomedicalConceptProperty","LBORRES","fd4a66fb-af5b-4040-9ea9-c0132def957d","BiomedicalConceptProperty_166","True"
"True","LBORRESU","","BiomedicalConceptProperty","LBORRESU","88e90b53-27e2-4a33-80a0-b0f686a56691","BiomedicalConceptProperty_167","True"
"True","LBSPEC","","BiomedicalConceptProperty","LBSPEC","bdc8c67b-71d3-45b5-a294-d475bb8d1f09","BiomedicalConceptProperty_168","True"
"True","LBFAST","","BiomedicalConceptProperty","LBFAST","0e939c30-0eaf-4f7d-8cce-6e8acdda4dff","BiomedicalConceptProperty_169","True"
"True","AETERM","text","BiomedicalConceptProperty","AETERM","a98a5c19-4757-4afe-8974-c9c91a87b1d0","BiomedicalConceptProperty_1","True"
"True","AEDECOD","text","BiomedicalConceptProperty","AEDECOD","96ce93bd-a16d-466d-9e94-9cd85e618ba5","BiomedicalConceptProperty_2","True"
"True","AEPRESP","text","BiomedicalConceptProperty","AEPRESP","f5fd7637-02ce-483a-bd78-6e71cfc96d6f","BiomedicalConceptProperty_3","True"
"True","AELOC","text","BiomedicalConceptProperty","AELOC","377401ff-95fe-4b6d-a0e7-f0601b0f3429","BiomedicalConceptProperty_4","True"
"True","AESEV","text","BiomedicalConceptProperty","AESEV","5ead78c8-4d14-4bc3-9d69-e163c7d5d3b9","BiomedicalConceptProperty_5","True"
"True","AESER","text","BiomedicalConceptProperty","AESER","159860a1-173a-4a89-aabe-86c920ac7340","BiomedicalConceptProperty_6","True"
"True","AEACN","text","BiomedicalConceptProperty","AEACN","86033d59-fd80-425b-ac35-78ef8e6b2d3f","BiomedicalConceptProperty_7","True"
