"otherReason","instanceType","id","uuid:ID"
"","StudyAmendmentReason","StudyAmendmentReason_1","8b65b2bc-9c3b-4458-b0e5-9d686c355763"
"Fix typographical errors","StudyAmendmentReason","StudyAmendmentReason_2","d6f0daae-455c-4e95-96f5-93e6256d855b"
