"name","instanceType","label","description","uuid:ID","id"
"IE_Dict","SyntaxTemplateDictionary","IE Dictionary","Dictionary for IE","27af8983-ef59-48af-8df0-8cbdc89d85a7","SyntaxTemplateDictionary_1"
"AS_Dict","SyntaxTemplateDictionary","Assessment Dictionary","Dictionary for Study Assessments","33645cfe-e0a7-415c-8983-1eb78fec4185","SyntaxTemplateDictionary_2"
