"instanceType","id","uuid:ID"
"GeographicScope","GeographicScope_1","18f6746e-1226-4cb7-b19f-10b6c04ca57f"
"GeographicScope","GeographicScope_2","adb2b0aa-ac4b-40c4-bfe5-8610f63e99d1"
