"maxValue","uuid:ID","instanceType","id","minValue","isApproximate"
"300.0","68ef9f55-c6d0-411e-af8e-342edf9a9c78","Range","Range_2","300.0","False"
"300.0","dd1d2b4b-d9e4-49aa-a77f-a29b76d32307","Range","Range_1","300.0","False"
"100.0","474bf00b-d23e-4546-8bbe-b00341d13bce","Range","Range_3","50.0","False"
