"uuid:ID","otherReason","instanceType","id"
"7218e7f4-7ca8-4378-b0ab-f01db90039fb","","StudyAmendmentReason","StudyAmendmentReason_1"
"9e6f688d-a8d4-4543-a738-1cdc768527be","Fix typographical errors","StudyAmendmentReason","StudyAmendmentReason_2"
