"uuid:ID","isEnabled","name","instanceType","isRequired","id","label","datatype"
"feacb653-9b93-4b7d-9807-720aed1b9783","True","DSDECOD","BiomedicalConceptProperty","True","BiomedicalConceptProperty_116","DSDECOD","text"
"a39b3fdf-cf3a-48ac-b1bd-3fdfd9f5aaf0","True","DSTERM","BiomedicalConceptProperty","True","BiomedicalConceptProperty_117","DSTERM","text"
"4a608b23-c17a-4d68-92fe-d7e078dd9cbf","True","DSSTDTC","BiomedicalConceptProperty","True","BiomedicalConceptProperty_118","DSSTDTC","datetime"
"c45597c6-e718-4a30-b11f-65caecc46000","True","Sex","BiomedicalConceptProperty","True","BiomedicalConceptProperty_119","Sex","string"
"8ae390c7-d00b-4481-aeb1-314bf11c67d0","True","Race","BiomedicalConceptProperty","True","BiomedicalConceptProperty_120","Race","string"
"9756f8fd-f4b1-4ae6-ba98-2d905a525877","True","VSTESTCD","BiomedicalConceptProperty","True","BiomedicalConceptProperty_121","VSTESTCD",""
"fedf9598-1155-40b5-a4cb-ad0b1ae52a4e","True","VSORRES","BiomedicalConceptProperty","True","BiomedicalConceptProperty_122","VSORRES","float"
"b787fc13-5444-4c46-9c19-30821a536141","True","VSORRESU","BiomedicalConceptProperty","True","BiomedicalConceptProperty_123","VSORRESU",""
"dcada9f4-2597-4813-996a-da269a5e19cf","True","VSLOC","BiomedicalConceptProperty","True","BiomedicalConceptProperty_124","VSLOC",""
"c013fa32-b7b1-4ed5-be26-0cd4b03b9bdd","True","VSTESTCD","BiomedicalConceptProperty","True","BiomedicalConceptProperty_125","VSTESTCD",""
"27411a26-e398-413d-9434-41ec263c8d71","True","VSORRES","BiomedicalConceptProperty","True","BiomedicalConceptProperty_126","VSORRES","float"
"bf98c38e-03fe-416e-8d66-68487941deb9","True","VSORRESU","BiomedicalConceptProperty","True","BiomedicalConceptProperty_127","VSORRESU",""
"7d7c9afd-1d0d-43fa-bc41-c97f9e0a3fb9","True","VSTESTCD","BiomedicalConceptProperty","True","BiomedicalConceptProperty_128","VSTESTCD",""
"9fd83198-8e67-4efc-bc53-0740a1dd60f1","True","VSORRES","BiomedicalConceptProperty","True","BiomedicalConceptProperty_129","VSORRES","float"
"335bd239-0997-44d3-9361-010d5073f814","True","VSORRESU","BiomedicalConceptProperty","True","BiomedicalConceptProperty_130","VSORRESU",""
"c27235f0-0a76-41a0-94a1-4d25907efb3c","True","LBTESTCD","BiomedicalConceptProperty","True","BiomedicalConceptProperty_131","LBTESTCD",""
"e0736e57-0550-41f8-b6a9-e0b71fbeaf91","True","LBORRES","BiomedicalConceptProperty","True","BiomedicalConceptProperty_132","LBORRES","float"
"79fbf72d-4b22-48ce-a8fc-29bac9f822f3","True","LBORRESU","BiomedicalConceptProperty","True","BiomedicalConceptProperty_133","LBORRESU",""
"938ab7f7-d532-4d00-bd4f-58ff7b8f18ca","True","LBSPEC","BiomedicalConceptProperty","True","BiomedicalConceptProperty_134","LBSPEC",""
"a721b0aa-bffd-41f7-8db4-fe6334a32acd","True","LBFAST","BiomedicalConceptProperty","True","BiomedicalConceptProperty_135","LBFAST",""
"d8c947c3-9d66-4598-9bdc-ce3c1a378816","True","LBTESTCD","BiomedicalConceptProperty","True","BiomedicalConceptProperty_136","LBTESTCD",""
"6336449f-51bb-4894-89c2-e8699d68eaa9","True","LBORRES","BiomedicalConceptProperty","True","BiomedicalConceptProperty_137","LBORRES","text"
"512654dc-e85e-4933-bed2-ac5b8ed91375","True","LBSPEC","BiomedicalConceptProperty","True","BiomedicalConceptProperty_138","LBSPEC",""
"ce4dc7d6-f460-4471-9629-4a5694de833f","True","LBFAST","BiomedicalConceptProperty","True","BiomedicalConceptProperty_139","LBFAST",""
"d69c555d-550a-42be-a93a-6e5f0ab0976d","True","LBTESTCD","BiomedicalConceptProperty","True","BiomedicalConceptProperty_140","LBTESTCD",""
"2b029ae1-75ed-4cf9-9f6b-880f0e4e8b40","True","LBORRES","BiomedicalConceptProperty","True","BiomedicalConceptProperty_141","LBORRES","float"
"d4bd16e4-a539-48eb-82e4-0a518f150c46","True","LBORRESU","BiomedicalConceptProperty","True","BiomedicalConceptProperty_142","LBORRESU",""
