"otherReason","uuid:ID","instanceType","id"
"","9398d081-709a-411c-980c-fee0d8f31793","StudyAmendmentReason","StudyAmendmentReason_1"
"Fix typographical errors","1a58ac44-b531-4b79-a163-17965762b545","StudyAmendmentReason","StudyAmendmentReason_2"
