"uuid:ID","minValue","instanceType","maxValue","id","isApproximate"
"b0cf4bc0-a1a9-41a7-9c48-e5d6bee4083c","300.0","Range","300.0","Range_2","False"
"7313a20d-016c-4882-bae6-3b5ffc5000e0","300.0","Range","300.0","Range_1","False"
"1da61c5e-9b26-4630-997c-c4ba79ba80e9","50.0","Range","100.0","Range_3","False"
