"uuid:ID","id","name","instanceType","description","label"
"9533aff1-1a96-4359-9e46-ecf38a9806bf","SyntaxTemplateDictionary_1","IE_Dict","SyntaxTemplateDictionary","Dictionary for IE","IE Dictionary"
"af14d1ec-f91c-4fe4-b078-ad38f708e6bb","SyntaxTemplateDictionary_2","AS_Dict","SyntaxTemplateDictionary","Dictionary for Study Assessments","Assessment Dictionary"
