"id","otherReason","instanceType","uuid:ID"
"StudyAmendmentReason_1","","StudyAmendmentReason","958ccd1f-83b7-4599-a279-4401c5808c27"
"StudyAmendmentReason_2","Fix typographical errors","StudyAmendmentReason","b94f77f4-cf3a-4290-9945-e90d0e1f716d"
