"label","isEnabled","name","isRequired","instanceType","datatype","uuid:ID","id"
"DSDECOD","True","DSDECOD","True","BiomedicalConceptProperty","text","e12af3d0-c20f-417e-986f-6249d1900591","BiomedicalConceptProperty_116"
"DSTERM","True","DSTERM","True","BiomedicalConceptProperty","text","12b7397d-3426-4367-8f56-c451c10014c1","BiomedicalConceptProperty_117"
"DSSTDTC","True","DSSTDTC","True","BiomedicalConceptProperty","datetime","bb8367cf-5c47-433f-aadb-4ac548f8b2e4","BiomedicalConceptProperty_118"
"Sex","True","Sex","True","BiomedicalConceptProperty","string","bcf81b52-9ed2-4044-bfc7-0bb1814fec7f","BiomedicalConceptProperty_119"
"Race","True","Race","True","BiomedicalConceptProperty","string","b37df0d2-09b3-467a-bead-4adde2914472","BiomedicalConceptProperty_120"
"VSTESTCD","True","VSTESTCD","True","BiomedicalConceptProperty","","d5cf3546-0471-491f-a2a9-a42113856d98","BiomedicalConceptProperty_121"
"VSORRES","True","VSORRES","True","BiomedicalConceptProperty","float","9369baeb-0735-4684-ae8d-dca797f2bb64","BiomedicalConceptProperty_122"
"VSORRESU","True","VSORRESU","True","BiomedicalConceptProperty","","d3811846-477b-49e1-8a83-239e0111efc6","BiomedicalConceptProperty_123"
"VSLOC","True","VSLOC","True","BiomedicalConceptProperty","","efc85018-20df-487c-807a-1bef643ce7eb","BiomedicalConceptProperty_124"
"VSTESTCD","True","VSTESTCD","True","BiomedicalConceptProperty","","62085f74-ff26-41a1-9db0-7f86f9ad07c5","BiomedicalConceptProperty_125"
"VSORRES","True","VSORRES","True","BiomedicalConceptProperty","float","bb3f3625-4e16-45d3-8b39-9747f629dee6","BiomedicalConceptProperty_126"
"VSORRESU","True","VSORRESU","True","BiomedicalConceptProperty","","7a5d52a3-d901-46f4-b66b-461694a751d9","BiomedicalConceptProperty_127"
"VSTESTCD","True","VSTESTCD","True","BiomedicalConceptProperty","","9ea5bb6b-048e-40c4-9554-f8260930b699","BiomedicalConceptProperty_128"
"VSORRES","True","VSORRES","True","BiomedicalConceptProperty","float","22d88571-fca1-422b-973b-f82a00ecbce3","BiomedicalConceptProperty_129"
"VSORRESU","True","VSORRESU","True","BiomedicalConceptProperty","","a907be7d-ace6-4f6f-a657-d81fd4437ea4","BiomedicalConceptProperty_130"
"LBTESTCD","True","LBTESTCD","True","BiomedicalConceptProperty","","50548399-9ca2-409c-9f58-0e6c0ea1c298","BiomedicalConceptProperty_131"
"LBORRES","True","LBORRES","True","BiomedicalConceptProperty","float","b699326d-e503-4869-a4e5-1bb57ffc1994","BiomedicalConceptProperty_132"
"LBORRESU","True","LBORRESU","True","BiomedicalConceptProperty","","755090b5-a2ad-4997-8598-1b867370ed1b","BiomedicalConceptProperty_133"
"LBSPEC","True","LBSPEC","True","BiomedicalConceptProperty","","233b2815-2aa3-4700-89b1-673dc91323c0","BiomedicalConceptProperty_134"
"LBFAST","True","LBFAST","True","BiomedicalConceptProperty","","38bbd8a0-3cdf-48ea-8615-375f936d07f2","BiomedicalConceptProperty_135"
"LBTESTCD","True","LBTESTCD","True","BiomedicalConceptProperty","","948e8434-ce67-4910-a4ee-2a0164f3f0e3","BiomedicalConceptProperty_136"
"LBORRES","True","LBORRES","True","BiomedicalConceptProperty","text","109e8c6b-9cbc-40d6-af8b-40be3032cf63","BiomedicalConceptProperty_137"
"LBSPEC","True","LBSPEC","True","BiomedicalConceptProperty","","39146bae-5bce-4249-9ff5-706bd9a299e2","BiomedicalConceptProperty_138"
"LBFAST","True","LBFAST","True","BiomedicalConceptProperty","","a7713108-38bb-472c-a596-0cebf3beef19","BiomedicalConceptProperty_139"
