"uuid:ID","otherReason","id","instanceType"
"005fba3b-7e49-4b93-b2c9-f444182a4174","","StudyAmendmentReason_1","StudyAmendmentReason"
"d448a78f-c360-4841-b842-555426513576","Fix typographical errors","StudyAmendmentReason_2","StudyAmendmentReason"
