"uuid:ID","name","isEnabled","isRequired","instanceType","label","id","datatype"
"c92f0b15-5805-41e1-bf41-f42a079e68ec","DSDECOD","True","True","BiomedicalConceptProperty","DSDECOD","BiomedicalConceptProperty_116","text"
"a3fa759b-a2db-4859-a222-d3d3b0f9195a","DSTERM","True","True","BiomedicalConceptProperty","DSTERM","BiomedicalConceptProperty_117","text"
"fad12ec8-832e-46a7-8294-2b18a3dbd1e7","DSSTDTC","True","True","BiomedicalConceptProperty","DSSTDTC","BiomedicalConceptProperty_118","datetime"
"49db25fb-be22-44f8-9373-6f555cd6361f","Sex","True","True","BiomedicalConceptProperty","Sex","BiomedicalConceptProperty_119","string"
"9250461a-3101-428b-824a-180a0a93decb","Race","True","True","BiomedicalConceptProperty","Race","BiomedicalConceptProperty_120","string"
"bf66ab14-b633-42bc-bf3b-fe9894868a98","VSTESTCD","True","True","BiomedicalConceptProperty","VSTESTCD","BiomedicalConceptProperty_121",""
"725a9cdd-fedf-43a1-8e1c-6616cd4c6b40","VSORRES","True","True","BiomedicalConceptProperty","VSORRES","BiomedicalConceptProperty_122","float"
"7db08fa6-951a-4ed7-9767-a2b15b7744f9","VSORRESU","True","True","BiomedicalConceptProperty","VSORRESU","BiomedicalConceptProperty_123",""
"f832a080-6a02-490a-a2dd-ef3d8ed6f302","VSLOC","True","True","BiomedicalConceptProperty","VSLOC","BiomedicalConceptProperty_124",""
"d6e0082d-700f-49bd-b9f5-3e9e1023084e","VSTESTCD","True","True","BiomedicalConceptProperty","VSTESTCD","BiomedicalConceptProperty_125",""
"56dca428-7cf6-41c4-bcc0-e5e2135a4d61","VSORRES","True","True","BiomedicalConceptProperty","VSORRES","BiomedicalConceptProperty_126","float"
"51ba6d6d-5004-4a09-9275-9840b56bf7be","VSORRESU","True","True","BiomedicalConceptProperty","VSORRESU","BiomedicalConceptProperty_127",""
"01a7d577-c9fa-4928-8004-f96ada47c0cf","VSTESTCD","True","True","BiomedicalConceptProperty","VSTESTCD","BiomedicalConceptProperty_128",""
"7b03dbdf-ae4d-45de-b02d-6c1eb2a43b96","VSORRES","True","True","BiomedicalConceptProperty","VSORRES","BiomedicalConceptProperty_129","float"
"6db23c8d-2519-494b-8629-84616a2e5718","VSORRESU","True","True","BiomedicalConceptProperty","VSORRESU","BiomedicalConceptProperty_130",""
"f5ec6dca-21cb-48c6-b45e-a32f7b628e75","LBTESTCD","True","True","BiomedicalConceptProperty","LBTESTCD","BiomedicalConceptProperty_131",""
"83bce7cb-2c89-45c4-a6a5-13c61ae6c2aa","LBORRES","True","True","BiomedicalConceptProperty","LBORRES","BiomedicalConceptProperty_132","float"
"0ac842df-9e4c-43fe-9d3c-9c633382d4e7","LBORRESU","True","True","BiomedicalConceptProperty","LBORRESU","BiomedicalConceptProperty_133",""
"9842f421-f429-4967-bee0-527c2a2c6110","LBSPEC","True","True","BiomedicalConceptProperty","LBSPEC","BiomedicalConceptProperty_134",""
"2a280d16-3169-483a-b22a-7b127a4f550f","LBFAST","True","True","BiomedicalConceptProperty","LBFAST","BiomedicalConceptProperty_135",""
"5f767e9f-817b-4aae-88c9-e6592e7be48a","LBTESTCD","True","True","BiomedicalConceptProperty","LBTESTCD","BiomedicalConceptProperty_136",""
"9135d540-f4cf-49ba-8dd0-37281ac363a5","LBORRES","True","True","BiomedicalConceptProperty","LBORRES","BiomedicalConceptProperty_137","text"
"f22c21ea-febb-4038-9cc7-8ee2da18a531","LBSPEC","True","True","BiomedicalConceptProperty","LBSPEC","BiomedicalConceptProperty_138",""
"8b6f2dfc-e790-439a-86a0-11b4b1755372","LBFAST","True","True","BiomedicalConceptProperty","LBFAST","BiomedicalConceptProperty_139",""
"28bb55e2-6f26-49dd-b65e-173e0a974189","LBTESTCD","True","True","BiomedicalConceptProperty","LBTESTCD","BiomedicalConceptProperty_140",""
"2725a183-542d-41f5-98b0-38ff2bcef882","LBORRES","True","True","BiomedicalConceptProperty","LBORRES","BiomedicalConceptProperty_141","float"
"04e55b99-32a6-4e1b-be79-fa9684a2db7a","LBORRESU","True","True","BiomedicalConceptProperty","LBORRESU","BiomedicalConceptProperty_142",""
"19c42012-6c18-45bd-8828-7c0974475134","LBSPEC","True","True","BiomedicalConceptProperty","LBSPEC","BiomedicalConceptProperty_143",""
"4d40c864-85bb-492a-80f1-f602d64d84d3","LBFAST","True","True","BiomedicalConceptProperty","LBFAST","BiomedicalConceptProperty_144",""
"4a7a61c3-c84a-4de8-bf23-7fe378d06836","LBTESTCD","True","True","BiomedicalConceptProperty","LBTESTCD","BiomedicalConceptProperty_145",""
"9ee8360d-506b-40a2-8096-40c85e0a8dd5","LBORRES","True","True","BiomedicalConceptProperty","LBORRES","BiomedicalConceptProperty_146","float"
"ea3646fd-eb2a-4b60-951a-fe15efb0bcbf","LBORRESU","True","True","BiomedicalConceptProperty","LBORRESU","BiomedicalConceptProperty_147",""
"5fa10e17-3a0b-492b-aad8-2ef2c9e5fd2b","LBSPEC","True","True","BiomedicalConceptProperty","LBSPEC","BiomedicalConceptProperty_148",""
"6c343232-19f9-4f30-b1b7-ce8ef7cba315","LBFAST","True","True","BiomedicalConceptProperty","LBFAST","BiomedicalConceptProperty_149",""
"12661c9a-f0dd-4532-a0f1-43f81a79612b","LBTESTCD","True","True","BiomedicalConceptProperty","LBTESTCD","BiomedicalConceptProperty_150",""
"b3990eea-f023-460c-a746-86cdf4cf3dff","LBORRES","True","True","BiomedicalConceptProperty","LBORRES","BiomedicalConceptProperty_151","float"
"0bb91362-0824-4b11-95fd-f2dbd541e3d7","LBORRESU","True","True","BiomedicalConceptProperty","LBORRESU","BiomedicalConceptProperty_152",""
"202c2c46-0286-45ee-8351-67a992a33c8d","LBSPEC","True","True","BiomedicalConceptProperty","LBSPEC","BiomedicalConceptProperty_153",""
"258b8a14-fa3d-4bc0-8f88-0a897dd39a53","LBFAST","True","True","BiomedicalConceptProperty","LBFAST","BiomedicalConceptProperty_154",""
"9200f302-5158-4e95-9d88-bc00afdd11a4","LBTESTCD","True","True","BiomedicalConceptProperty","LBTESTCD","BiomedicalConceptProperty_155",""
"5f339700-e31d-4eca-88e5-047b2785edec","LBORRES","True","True","BiomedicalConceptProperty","LBORRES","BiomedicalConceptProperty_156","float"
"436b9fc4-7ea9-46aa-8fad-baf38baac3fd","LBORRESU","True","True","BiomedicalConceptProperty","LBORRESU","BiomedicalConceptProperty_157",""
"f281cf65-f52d-4dab-a983-fdf7d7922204","LBSPEC","True","True","BiomedicalConceptProperty","LBSPEC","BiomedicalConceptProperty_158",""
"518cee1d-ffd3-4e13-9c4c-3530a353e9c7","LBFAST","True","True","BiomedicalConceptProperty","LBFAST","BiomedicalConceptProperty_159",""
"61f9a4a8-39d8-480c-ad1d-80579602bebb","LBTESTCD","True","True","BiomedicalConceptProperty","LBTESTCD","BiomedicalConceptProperty_160",""
"880b7c81-16a1-467b-86a0-2afd31f2fa1b","LBORRES","True","True","BiomedicalConceptProperty","LBORRES","BiomedicalConceptProperty_161","float"
"b95afa33-57a6-484f-8bc1-eb2525525a80","LBORRESU","True","True","BiomedicalConceptProperty","LBORRESU","BiomedicalConceptProperty_162",""
"e187ce2d-50c3-473e-bb43-f26607d5beb8","LBSPEC","True","True","BiomedicalConceptProperty","LBSPEC","BiomedicalConceptProperty_163",""
"3af0bf6e-f1b4-4639-8619-da217fcf39a9","LBFAST","True","True","BiomedicalConceptProperty","LBFAST","BiomedicalConceptProperty_164",""
"5e008c30-790c-4f3c-8c2d-0b168a278e43","LBTESTCD","True","True","BiomedicalConceptProperty","LBTESTCD","BiomedicalConceptProperty_165",""
"7d536133-5caf-427f-9efe-677440fe83cf","LBORRES","True","True","BiomedicalConceptProperty","LBORRES","BiomedicalConceptProperty_166","float"
"bfb18e35-89fe-440c-b684-a9406346eaf2","LBORRESU","True","True","BiomedicalConceptProperty","LBORRESU","BiomedicalConceptProperty_167",""
"254b6b68-d4aa-4368-bd24-a2d9c341b3b2","LBSPEC","True","True","BiomedicalConceptProperty","LBSPEC","BiomedicalConceptProperty_168",""
