"instanceType","otherReason","id","uuid:ID"
"StudyAmendmentReason","","StudyAmendmentReason_1","f3c9660f-be44-4c8d-9864-4e4e3713153d"
"StudyAmendmentReason","Fix typographical errors","StudyAmendmentReason_2","f6d1ca27-e7ac-4cc5-a5a1-cae35fb94bd4"
