"label","name","description","instanceType","uuid:ID","id"
"IE Dictionary","IE_Dict","Dictionary for IE","SyntaxTemplateDictionary","6150d246-073f-466a-95ae-f8d702606268","SyntaxTemplateDictionary_1"
"Assessment Dictionary","AS_Dict","Dictionary for Study Assessments","SyntaxTemplateDictionary","040a315b-2305-4f24-88b0-3d130369f9d9","SyntaxTemplateDictionary_2"
