"datatype","isEnabled","isRequired","name","label","instanceType","uuid:ID","id"
"text","True","True","DSDECOD","DSDECOD","BiomedicalConceptProperty","6d6c5991-8f11-4ab8-9a61-c5471cc43cba","BiomedicalConceptProperty_116"
"text","True","True","DSTERM","DSTERM","BiomedicalConceptProperty","3fafb3fa-6069-4494-bf8f-bb65ec80c0e9","BiomedicalConceptProperty_117"
"datetime","True","True","DSSTDTC","DSSTDTC","BiomedicalConceptProperty","503b0d36-d8b0-4045-88df-147b48140018","BiomedicalConceptProperty_118"
"string","True","True","Sex","Sex","BiomedicalConceptProperty","d4a0f4f7-6a86-48df-a330-d0af34907f0a","BiomedicalConceptProperty_119"
"string","True","True","Race","Race","BiomedicalConceptProperty","078a1e48-0f17-4665-b736-452faeda72ed","BiomedicalConceptProperty_120"
"","True","True","VSTESTCD","VSTESTCD","BiomedicalConceptProperty","57739b62-d63a-420b-949f-55fafdf90175","BiomedicalConceptProperty_121"
"float","True","True","VSORRES","VSORRES","BiomedicalConceptProperty","ebd874bf-3193-49f4-a60c-9dc06262b37e","BiomedicalConceptProperty_122"
"","True","True","VSORRESU","VSORRESU","BiomedicalConceptProperty","1e8acc6e-aaed-4b7d-8226-f2508ee48ecf","BiomedicalConceptProperty_123"
"","True","True","VSLOC","VSLOC","BiomedicalConceptProperty","2bc34fc2-4b1e-48f6-8bc9-d2ff781ec1d2","BiomedicalConceptProperty_124"
"","True","True","VSTESTCD","VSTESTCD","BiomedicalConceptProperty","c475655d-6109-49af-b5c5-15ba917c1def","BiomedicalConceptProperty_125"
"float","True","True","VSORRES","VSORRES","BiomedicalConceptProperty","c760984f-3be3-4328-a149-0fb5132013f1","BiomedicalConceptProperty_126"
"","True","True","VSORRESU","VSORRESU","BiomedicalConceptProperty","26644217-9d6f-4a5f-a365-c09c8075323b","BiomedicalConceptProperty_127"
"","True","True","VSTESTCD","VSTESTCD","BiomedicalConceptProperty","309eaa18-4d9d-411d-b836-be250963cbf4","BiomedicalConceptProperty_128"
"float","True","True","VSORRES","VSORRES","BiomedicalConceptProperty","2f3f594d-fc3a-4284-81a3-14f49d5cde7b","BiomedicalConceptProperty_129"
"","True","True","VSORRESU","VSORRESU","BiomedicalConceptProperty","b94f6236-67eb-4553-8e7f-b7aa80b3b90b","BiomedicalConceptProperty_130"
"","True","True","LBTESTCD","LBTESTCD","BiomedicalConceptProperty","0f22ffc1-10c8-4490-bf1a-9d8d274333db","BiomedicalConceptProperty_131"
"float","True","True","LBORRES","LBORRES","BiomedicalConceptProperty","94a0e2f1-179f-455d-8b2d-6d99e2cec937","BiomedicalConceptProperty_132"
"","True","True","LBORRESU","LBORRESU","BiomedicalConceptProperty","44d617c6-79e6-4973-a5eb-66275ecdc1a0","BiomedicalConceptProperty_133"
"","True","True","LBSPEC","LBSPEC","BiomedicalConceptProperty","d40d23fd-5ba5-4c37-ad11-03ab3564027e","BiomedicalConceptProperty_134"
"","True","True","LBFAST","LBFAST","BiomedicalConceptProperty","c58437cb-e72b-4389-bc78-eaaba36e27b7","BiomedicalConceptProperty_135"
