"id","uuid:ID","otherReason","instanceType"
"StudyAmendmentReason_1","2df73730-c5f0-4fe2-86fd-f789ac86627e","","StudyAmendmentReason"
"StudyAmendmentReason_2","9216837d-6d15-4de0-89ba-c67e43329761","Fix typographical errors","StudyAmendmentReason"
