"isApproximate","instanceType","maxValue","uuid:ID","minValue","id"
"False","Range","300.0","0774d330-9421-42d4-8f75-60e8bc6733d6","300.0","Range_2"
"False","Range","300.0","06cb7a30-0520-49fa-96ef-e58fb447c317","300.0","Range_1"
"False","Range","100.0","64b21d87-d3d7-4b0a-be2e-018eb4066421","50.0","Range_3"
