"uuid:ID","id","instanceType"
"b04f44a7-d5ff-496c-96a4-9b68de4926af","StudyCell_1","StudyCell"
"2709b7de-8bf0-4934-b231-5474fe032ccf","StudyCell_2","StudyCell"
"339f5cde-5bc8-456b-bbeb-a0e9e48449ec","StudyCell_3","StudyCell"
"e2ca8281-3110-44f7-888a-1ea4ebe44448","StudyCell_4","StudyCell"
"8f90ad75-99ef-4ed2-8f51-07873859eb57","StudyCell_5","StudyCell"
"a1ac0a30-bfe6-40d5-a7cc-336ecc75d704","StudyCell_6","StudyCell"
"b37e07b5-cf5c-4e8b-9aba-f8f27d625caf","StudyCell_7","StudyCell"
"efa551ef-a187-4357-85c6-6634d9f92bbb","StudyCell_8","StudyCell"
"70fceebc-ec5d-4d8c-bed7-be92d8fdd837","StudyCell_9","StudyCell"
"3c58bc9c-05f8-46e8-bbdf-b7095c4edac4","StudyCell_10","StudyCell"
"0c68574b-51f8-4199-bf47-5c8937d41ba3","StudyCell_11","StudyCell"
"dcefa07b-1d4c-45d0-8c84-611c56f5203a","StudyCell_12","StudyCell"
"6ad88b07-d326-4396-9eeb-78779161fac5","StudyCell_13","StudyCell"
"a52b33be-b5f4-4947-90b2-d23a3266b980","StudyCell_14","StudyCell"
"e24006ea-e671-4560-ae52-6c9caf57c3ec","StudyCell_15","StudyCell"
