"name","description","label","instanceType","uuid:ID","id"
"IE_Dict","Dictionary for IE","IE Dictionary","SyntaxTemplateDictionary","24b9c4c5-f6d3-49a6-9411-58144190d56e","SyntaxTemplateDictionary_1"
"AS_Dict","Dictionary for Study Assessments","Assessment Dictionary","SyntaxTemplateDictionary","f8bca3d5-bafe-4226-afed-a72c13b58bb6","SyntaxTemplateDictionary_2"
