"uuid:ID","instanceType","isApproximate","id","minValue","maxValue"
"291d319e-eb22-41b4-a836-61e40084f5b0","Range","False","Range_2","300.0","300.0"
"983291a0-0bed-4ccf-86fa-10a369bf3668","Range","False","Range_1","300.0","300.0"
"07852ba6-5971-445b-a9c1-6be33beb7ed8","Range","False","Range_3","50.0","100.0"
