"instanceType","id","uuid:ID"
"StudyCell","StudyCell_1","ee98876a-cfba-4db8-9f7d-e7f8ace50d3b"
"StudyCell","StudyCell_2","b21455a3-8fd0-4da1-b408-013b7a1f0872"
"StudyCell","StudyCell_3","d4eb7220-2907-48ae-b23a-e04202e6a0ea"
"StudyCell","StudyCell_4","8ab21292-62a7-4fd3-b949-996f6a30bf8e"
"StudyCell","StudyCell_5","31ec39d2-93e6-45ac-bd6b-c86c46637946"
"StudyCell","StudyCell_6","35bd806e-63dc-4736-96a9-6169c6152f5f"
"StudyCell","StudyCell_7","e4dc3288-7f86-4669-b73a-c33bc3b0ca3c"
"StudyCell","StudyCell_8","159ba707-3bf5-4365-89f3-e141ac999b54"
"StudyCell","StudyCell_9","5c21f26b-e812-4652-b1b4-834f28ad6f79"
"StudyCell","StudyCell_10","e8dd1425-aec4-4895-ae73-0b0c8bc4d112"
"StudyCell","StudyCell_11","dd919529-9f08-4aa4-b7be-6bf99555bc15"
"StudyCell","StudyCell_12","e90adcac-b4f8-4e9d-a8ed-7a12354dac00"
"StudyCell","StudyCell_13","6597643e-c363-43b5-ab32-2f56423e4961"
"StudyCell","StudyCell_14","603e3a8d-54b5-4760-86a4-adda0fc6656f"
"StudyCell","StudyCell_15","7b01bd5b-9085-4ed4-a0cd-0f389cc2f2b1"
