"uuid:ID","name","dateValue","instanceType","label","id","description"
"437474ed-041f-4529-a3a5-de82fa1a8a39","D_APPROVE","2006-06-01","GovernanceDate","Design Approval","GovernanceDate_1","Design approval date"
"50e00880-d94e-4dbf-9bc2-bfe825469612","P_APPROVE","2006-07-01","GovernanceDate","Protocol Approval","GovernanceDate_2","Protocol document approval date"
