"instanceType","name","datatype","isRequired","isEnabled","uuid:ID","label","id"
"BiomedicalConceptProperty","LBORRESU","","True","True","94fc4aa6-8201-47c0-abe7-e3d8a1738d6e","LBORRESU","BiomedicalConceptProperty_157"
"BiomedicalConceptProperty","LBSPEC","","True","True","42016b7f-a946-49ab-bbc1-e502eac6d048","LBSPEC","BiomedicalConceptProperty_158"
"BiomedicalConceptProperty","LBFAST","","True","True","0a2bc5e7-1b41-4fce-988b-cc4fa60440ff","LBFAST","BiomedicalConceptProperty_159"
"BiomedicalConceptProperty","LBTESTCD","","True","True","aabbeefd-02db-4fa4-b591-974bb0b305dd","LBTESTCD","BiomedicalConceptProperty_160"
"BiomedicalConceptProperty","LBORRES","float","True","True","dbf07add-f637-4fe3-8423-201e5b5f91c8","LBORRES","BiomedicalConceptProperty_161"
"BiomedicalConceptProperty","LBORRESU","","True","True","2fe9ebb2-6fad-42af-ac6b-bc4d811f6aed","LBORRESU","BiomedicalConceptProperty_162"
"BiomedicalConceptProperty","LBSPEC","","True","True","510d6cb1-130e-49d7-9778-fae86cab17db","LBSPEC","BiomedicalConceptProperty_163"
"BiomedicalConceptProperty","LBFAST","","True","True","1cd16831-e677-4d38-8382-f9cfc73a2f8c","LBFAST","BiomedicalConceptProperty_164"
"BiomedicalConceptProperty","LBTESTCD","","True","True","8af7610f-e792-4f0b-ab72-c717ef5cbf33","LBTESTCD","BiomedicalConceptProperty_165"
"BiomedicalConceptProperty","LBORRES","float","True","True","9f432b02-5889-44ef-861f-9c8007746838","LBORRES","BiomedicalConceptProperty_166"
"BiomedicalConceptProperty","LBORRESU","","True","True","0d07b1ca-ff17-4ec5-9fa9-b803f3fdeb9d","LBORRESU","BiomedicalConceptProperty_167"
"BiomedicalConceptProperty","LBSPEC","","True","True","f84a8aa8-3226-4fc8-8a5e-578ed315a6fe","LBSPEC","BiomedicalConceptProperty_168"
"BiomedicalConceptProperty","LBFAST","","True","True","8a52888f-b85f-4fb0-aafa-08af9c8967dd","LBFAST","BiomedicalConceptProperty_169"
"BiomedicalConceptProperty","AETERM","text","True","True","7027eea9-dc98-4c88-8636-42272008dc08","AETERM","BiomedicalConceptProperty_1"
"BiomedicalConceptProperty","AEDECOD","text","True","True","20d0874f-0bc4-46f0-aeb9-58a8af35d350","AEDECOD","BiomedicalConceptProperty_2"
"BiomedicalConceptProperty","AEPRESP","text","True","True","c0afd099-b855-4da6-b8ec-0943d91f9bd4","AEPRESP","BiomedicalConceptProperty_3"
"BiomedicalConceptProperty","AELOC","text","True","True","93c6d627-9386-41dd-8a46-4d028381cf0c","AELOC","BiomedicalConceptProperty_4"
"BiomedicalConceptProperty","AESEV","text","True","True","61904c15-a942-4665-be86-555a264eff31","AESEV","BiomedicalConceptProperty_5"
"BiomedicalConceptProperty","AESER","text","True","True","9fbc014f-882d-4c44-b1c5-9089efeb2b3d","AESER","BiomedicalConceptProperty_6"
"BiomedicalConceptProperty","AEACN","text","True","True","f1f23e49-3404-4420-a9c5-2bad24848135","AEACN","BiomedicalConceptProperty_7"
"BiomedicalConceptProperty","AEACNOTH","text","True","True","72471a52-db6a-4b05-a81b-b1c114e09c1e","AEACNOTH","BiomedicalConceptProperty_8"
"BiomedicalConceptProperty","AEREL","text","True","True","f6bed167-2eae-42b2-a859-63cd013eb035","AEREL","BiomedicalConceptProperty_9"
"BiomedicalConceptProperty","AERELNST","text","True","True","92d41b4e-397d-4691-830e-75e141ba856d","AERELNST","BiomedicalConceptProperty_10"
"BiomedicalConceptProperty","AEPATT","text","True","True","415d524c-0b05-4d46-b6a3-f315f020b976","AEPATT","BiomedicalConceptProperty_11"
"BiomedicalConceptProperty","AEOUT","text","True","True","af059dd4-b41c-41bf-95b3-3aa08a6678cb","AEOUT","BiomedicalConceptProperty_12"
"BiomedicalConceptProperty","AESCAN","text","True","True","4c73ed25-b7b2-4115-8b56-8eab514aa90d","AESCAN","BiomedicalConceptProperty_13"
"BiomedicalConceptProperty","AESCONG","text","True","True","dce237e1-1a07-4292-bea7-a5c60668f045","AESCONG","BiomedicalConceptProperty_14"
"BiomedicalConceptProperty","AESDISAB","text","True","True","62312bdf-7c57-4ae8-a795-408e750169a4","AESDISAB","BiomedicalConceptProperty_15"
"BiomedicalConceptProperty","AESDTH","text","True","True","415f9888-e6bc-4d75-b243-e722c950acb9","AESDTH","BiomedicalConceptProperty_16"
"BiomedicalConceptProperty","AESHOSP","text","True","True","dbc0e6f7-dd0d-4bdd-98b2-c268c6dd278e","AESHOSP","BiomedicalConceptProperty_17"
"BiomedicalConceptProperty","AESLIFE","text","True","True","ee0980c1-aead-4552-9dd9-4808f3b0cf83","AESLIFE","BiomedicalConceptProperty_18"
"BiomedicalConceptProperty","AESOD","text","True","True","5b9c82dd-7d99-4422-bf00-59b3added0e5","AESOD","BiomedicalConceptProperty_19"
"BiomedicalConceptProperty","AESMIE","text","True","True","b50f7407-ee4b-4df2-806a-6d4c430e2485","AESMIE","BiomedicalConceptProperty_20"
"BiomedicalConceptProperty","AECONTRT","text","True","True","49f885d7-ff7d-4cb4-9c19-9c07eb798741","AECONTRT","BiomedicalConceptProperty_21"
"BiomedicalConceptProperty","AESTDTC","datetime","True","True","08c54b93-46ce-45bb-b799-6eadd35bae2f","AESTDTC","BiomedicalConceptProperty_22"
"BiomedicalConceptProperty","AEENDTC","datetime","True","True","8d7f99cb-c227-474a-aadc-66b9325348c5","AEENDTC","BiomedicalConceptProperty_23"
"BiomedicalConceptProperty","VSTESTCD","","True","True","b83a3da2-9e2a-4e0d-a535-c2a3e2666260","VSTESTCD","BiomedicalConceptProperty_24"
"BiomedicalConceptProperty","VSORRES","integer","True","True","2c41cc56-b771-43dc-bf3d-d01801c9523b","VSORRES","BiomedicalConceptProperty_25"
"BiomedicalConceptProperty","VSORRESU","","True","True","d5aead10-b9af-4b7a-861d-daf3f1271c39","VSORRESU","BiomedicalConceptProperty_26"
"BiomedicalConceptProperty","VSPOS","","True","True","3558cfde-8b90-4dd9-b717-02dc3327a27c","VSPOS","BiomedicalConceptProperty_27"
"BiomedicalConceptProperty","VSLOC","","True","True","e80b78f6-abdd-4f6f-9871-d05564650f43","VSLOC","BiomedicalConceptProperty_28"
"BiomedicalConceptProperty","VSLAT","","True","True","4df57b52-06ae-4e62-8610-0ff16cafd5f7","VSLAT","BiomedicalConceptProperty_29"
