"description","instanceType","name","uuid:ID","dateValue","label","id"
"Design approval date","GovernanceDate","D_APPROVE","32bf7c78-6ca0-47ba-a2e5-3a47d9ef1f99","2006-06-01","Design Approval","GovernanceDate_1"
"Protocol document approval date","GovernanceDate","P_APPROVE","552dae1d-8a01-4165-b0a7-d97abe925927","2006-07-01","Protocol Approval","GovernanceDate_2"
