"description","instanceType","name","uuid:ID","label","id"
"Dictionary for IE","SyntaxTemplateDictionary","IE_Dict","57565457-d36e-45f5-8187-8cc717dfa897","IE Dictionary","SyntaxTemplateDictionary_1"
"Dictionary for Study Assessments","SyntaxTemplateDictionary","AS_Dict","7d63eec7-a45a-4a21-96b9-3deec950a813","Assessment Dictionary","SyntaxTemplateDictionary_2"
