"name","instanceType","label","isRequired","isEnabled","uuid:ID","datatype","id"
"DSDECOD","BiomedicalConceptProperty","DSDECOD","True","True","cd61a455-264b-446b-9c9d-2b36441c6f15","text","BiomedicalConceptProperty_116"
"DSTERM","BiomedicalConceptProperty","DSTERM","True","True","d2ac3cf0-d5f9-4872-ace3-6669d2c4b8ae","text","BiomedicalConceptProperty_117"
"DSSTDTC","BiomedicalConceptProperty","DSSTDTC","True","True","670c902a-390d-4a69-9e2d-cc1f380655e0","datetime","BiomedicalConceptProperty_118"
"Sex","BiomedicalConceptProperty","Sex","True","True","15aad5f7-c15f-4c18-a893-c5e0f53a0167","string","BiomedicalConceptProperty_119"
"Race","BiomedicalConceptProperty","Race","True","True","4f0d6951-4a50-432d-846e-b276fe606d6e","string","BiomedicalConceptProperty_120"
"VSTESTCD","BiomedicalConceptProperty","VSTESTCD","True","True","410e336a-f288-4be2-b824-4f30337a85c1","","BiomedicalConceptProperty_121"
"VSORRES","BiomedicalConceptProperty","VSORRES","True","True","3851ba29-3e51-4976-9f8a-47e7f581241a","float","BiomedicalConceptProperty_122"
"VSORRESU","BiomedicalConceptProperty","VSORRESU","True","True","38fdf12f-54fd-4b40-9f3f-a1d530e98e70","","BiomedicalConceptProperty_123"
"VSLOC","BiomedicalConceptProperty","VSLOC","True","True","d0cbd3b8-ba7a-4171-b1e8-55fee9e2876a","","BiomedicalConceptProperty_124"
"VSTESTCD","BiomedicalConceptProperty","VSTESTCD","True","True","868c042f-9506-456f-9d9c-d09f52b2ff29","","BiomedicalConceptProperty_125"
"VSORRES","BiomedicalConceptProperty","VSORRES","True","True","d06ab829-b5dc-43c7-b947-e5f54d09bdc5","float","BiomedicalConceptProperty_126"
"VSORRESU","BiomedicalConceptProperty","VSORRESU","True","True","3683d605-89f5-4c3c-bf35-e6184e696740","","BiomedicalConceptProperty_127"
"VSTESTCD","BiomedicalConceptProperty","VSTESTCD","True","True","674e108b-19e5-463b-bd7f-9413f43baa3d","","BiomedicalConceptProperty_128"
