"instanceType","otherReason","id","uuid:ID"
"StudyAmendmentReason","","StudyAmendmentReason_1","1fdd5d3c-c7a5-466c-94aa-2622c34c1f8b"
"StudyAmendmentReason","Fix typographical errors","StudyAmendmentReason_2","71ce5046-3351-4572-b586-036048786767"
