"instanceType","maxValue","uuid:ID","id","minValue","isApproximate"
"Range","300.0","1d6aa2b1-78a0-4ed3-be9a-7927041acf3f","Range_2","300.0","False"
"Range","300.0","d6a2a489-a709-47b8-af50-b576add1cbc5","Range_1","300.0","False"
"Range","100.0","74414351-e44c-4d55-842d-73a500f8271f","Range_3","50.0","False"
