"name","id","uuid:ID","description","label","instanceType"
"IE_Dict","SyntaxTemplateDictionary_1","feec56ad-9dcd-4c11-b120-d7a626501c2c","Dictionary for IE","IE Dictionary","SyntaxTemplateDictionary"
"AS_Dict","SyntaxTemplateDictionary_2","d610e079-51a5-4ae2-8a45-31d2d4a781b5","Dictionary for Study Assessments","Assessment Dictionary","SyntaxTemplateDictionary"
