"id","otherReason","uuid:ID","instanceType"
"StudyAmendmentReason_1","","c13da228-37a8-4cfe-938c-2ca94c02b428","StudyAmendmentReason"
"StudyAmendmentReason_2","Fix typographical errors","08456d56-8067-4377-a12e-1cf3dc74123d","StudyAmendmentReason"
