"name","id","uuid:ID","dateValue","description","label","instanceType"
"D_APPROVE","GovernanceDate_1","773367de-8e01-470d-9a30-8b43c7dc4d39","2006-06-01","Design approval date","Design Approval","GovernanceDate"
"P_APPROVE","GovernanceDate_2","d46ba429-d925-4dde-9a3c-1f7bb81868a5","2006-07-01","Protocol document approval date","Protocol Approval","GovernanceDate"
