"maxValue","isApproximate","minValue","id","uuid:ID","instanceType"
"300.0","False","300.0","Range_2","8a758a0a-8061-4325-a565-065deee36f36","Range"
"300.0","False","300.0","Range_1","cbd24a9c-6515-41d3-9570-b8fa0d51a5d7","Range"
"100.0","False","50.0","Range_3","583da8d3-7f22-42a4-9303-480f7c64abb1","Range"
