"id","otherReason","instanceType","uuid:ID"
"StudyAmendmentReason_1","","StudyAmendmentReason","12411680-5f9f-485f-9809-a56c0f3f4578"
"StudyAmendmentReason_2","Fix typographical errors","StudyAmendmentReason","868a750d-b54d-4e64-a478-375ee633fb57"
