"isApproximate","instanceType","uuid:ID","id","maxValue","minValue"
"False","Range","5f35906f-d9b8-4efa-8aaf-82af30fd2338","Range_2","300.0","300.0"
"False","Range","ce4a98db-c895-4784-a22b-6da4dd7748c7","Range_1","300.0","300.0"
"False","Range","0c99fe98-2b46-4448-8c1d-424d1d7e3588","Range_3","100.0","50.0"
