"label","instanceType","uuid:ID","id","description","name"
"IE Dictionary","SyntaxTemplateDictionary","fde8815e-b584-4a50-b8c1-b91bf68fa846","SyntaxTemplateDictionary_1","Dictionary for IE","IE_Dict"
"Assessment Dictionary","SyntaxTemplateDictionary","39b0ce66-c019-4dba-86b9-4141f875cba8","SyntaxTemplateDictionary_2","Dictionary for Study Assessments","AS_Dict"
