"id","instanceType","uuid:ID"
"StudyCell_1","StudyCell","0d9552b6-d22b-421f-aea4-a3bb9885b3e3"
"StudyCell_2","StudyCell","711febd0-3ad2-491e-ad62-3b1a4a7e7424"
"StudyCell_3","StudyCell","7917b44b-6e9e-4e42-b304-38e774ca4db8"
"StudyCell_4","StudyCell","77729979-ad5d-4309-8154-41ec08ac7c6f"
"StudyCell_5","StudyCell","6c2bce69-b051-44b5-ad3b-6b19338594bb"
"StudyCell_6","StudyCell","fa082952-f0ce-4e51-8f29-4f13522b7497"
"StudyCell_7","StudyCell","51fdae7e-18d6-45a8-a38c-db126b7ba4b9"
"StudyCell_8","StudyCell","a9220de1-5ae5-4ad9-8c9a-d1b8dfe1af54"
"StudyCell_9","StudyCell","41547f7b-0b72-4c07-b81c-eccbcb72cbb7"
"StudyCell_10","StudyCell","3c2f2758-bcf2-4174-90a3-377d1842dfcc"
"StudyCell_11","StudyCell","5fb5450c-7785-45e8-adbb-08cc1e0de2c2"
"StudyCell_12","StudyCell","be1c88e7-22ec-4d53-91bd-4954de23d65f"
"StudyCell_13","StudyCell","097250b0-e54f-4530-a798-71d7856ee5e1"
"StudyCell_14","StudyCell","5fc79fe5-fbbb-4902-b12f-30e1a484cf04"
"StudyCell_15","StudyCell","2bb510f1-e129-477d-9b8e-34c0ce9b3a37"
