"isApproximate","instanceType","uuid:ID","id","maxValue","minValue"
"False","Range","0068a866-6f6b-4e1a-b021-3c864d8e265b","Range_2","300.0","300.0"
"False","Range","e42e40ae-095e-41bd-963c-8fc79ac735c0","Range_1","300.0","300.0"
"False","Range","311524be-b0cf-486c-9d92-bfa03c98cfa0","Range_3","100.0","50.0"
