"label","instanceType","uuid:ID","id","description","name","dateValue"
"Design Approval","GovernanceDate","dd4fd862-e4ef-4a69-bcb3-418d38f6948a","GovernanceDate_1","Design approval date","D_APPROVE","2006-06-01"
"Protocol Approval","GovernanceDate","82f0d20b-7a34-4242-bd11-d4e3088237b5","GovernanceDate_2","Protocol document approval date","P_APPROVE","2006-07-01"
