"label","instanceType","uuid:ID","id","description","name"
"IE Dictionary","SyntaxTemplateDictionary","1c122417-8b17-4d0a-853e-b27f9c09b449","SyntaxTemplateDictionary_1","Dictionary for IE","IE_Dict"
"Assessment Dictionary","SyntaxTemplateDictionary","47510ef7-6c15-453b-91a7-98353a15a880","SyntaxTemplateDictionary_2","Dictionary for Study Assessments","AS_Dict"
