"datatype","label","instanceType","uuid:ID","id","isEnabled","isRequired","name"
"","LBSPEC","BiomedicalConceptProperty","75ee2e26-9ebe-4fb5-bbf3-4e094b44c1c1","BiomedicalConceptProperty_158","True","True","LBSPEC"
"","LBFAST","BiomedicalConceptProperty","01cd323f-3bf0-4e95-ba5a-e1074b08b278","BiomedicalConceptProperty_159","True","True","LBFAST"
"","LBTESTCD","BiomedicalConceptProperty","96ced949-db9e-47a3-a107-be8c5a86fe39","BiomedicalConceptProperty_160","True","True","LBTESTCD"
"float","LBORRES","BiomedicalConceptProperty","1b1fae3e-9795-4941-94a3-f6be7d436da8","BiomedicalConceptProperty_161","True","True","LBORRES"
"","LBORRESU","BiomedicalConceptProperty","c09a628d-fcd3-4a58-afd9-1b2e1c841522","BiomedicalConceptProperty_162","True","True","LBORRESU"
"","LBSPEC","BiomedicalConceptProperty","6a564269-83da-42df-b059-7d8f3c22bafb","BiomedicalConceptProperty_163","True","True","LBSPEC"
"","LBFAST","BiomedicalConceptProperty","908e43a3-dc95-4897-8ede-42aaeef42216","BiomedicalConceptProperty_164","True","True","LBFAST"
"","LBTESTCD","BiomedicalConceptProperty","931f8572-eec7-4bc8-8828-3dec2a9c45b6","BiomedicalConceptProperty_165","True","True","LBTESTCD"
"float","LBORRES","BiomedicalConceptProperty","1cf6c434-566e-4d99-a929-69445fb93e24","BiomedicalConceptProperty_166","True","True","LBORRES"
"","LBORRESU","BiomedicalConceptProperty","f3d53bf6-570d-4665-acc0-211fa97d94b8","BiomedicalConceptProperty_167","True","True","LBORRESU"
"","LBSPEC","BiomedicalConceptProperty","e0522a8f-b42f-4f48-b4b9-a5008dcfc687","BiomedicalConceptProperty_168","True","True","LBSPEC"
"","LBFAST","BiomedicalConceptProperty","cd0e8cd4-d0ff-43d8-bcf0-42afa8ac69b7","BiomedicalConceptProperty_169","True","True","LBFAST"
"text","AETERM","BiomedicalConceptProperty","e53da7d7-7935-484a-858b-054f0005b0df","BiomedicalConceptProperty_1","True","True","AETERM"
"text","AEDECOD","BiomedicalConceptProperty","b1072067-5fe0-4d19-be39-2bb38cf53f87","BiomedicalConceptProperty_2","True","True","AEDECOD"
"text","AEPRESP","BiomedicalConceptProperty","9af43a83-b752-4be0-b81e-9e043d926b5a","BiomedicalConceptProperty_3","True","True","AEPRESP"
"text","AELOC","BiomedicalConceptProperty","36d80f8b-bf22-4fd1-84b6-8cc84303a675","BiomedicalConceptProperty_4","True","True","AELOC"
"text","AESEV","BiomedicalConceptProperty","143d9185-1adb-4db1-bc6c-187607a6c707","BiomedicalConceptProperty_5","True","True","AESEV"
"text","AESER","BiomedicalConceptProperty","9ae3dfe5-c490-4ac1-8d23-a34351fab6d3","BiomedicalConceptProperty_6","True","True","AESER"
"text","AEACN","BiomedicalConceptProperty","e04ea806-08cb-41fe-a4f6-3493f7771865","BiomedicalConceptProperty_7","True","True","AEACN"
"text","AEACNOTH","BiomedicalConceptProperty","31ee3a44-1bfa-4d3b-a966-412189deb8c2","BiomedicalConceptProperty_8","True","True","AEACNOTH"
"text","AEREL","BiomedicalConceptProperty","c377308e-2189-4ea0-bc20-ed6d42673795","BiomedicalConceptProperty_9","True","True","AEREL"
"text","AERELNST","BiomedicalConceptProperty","aab48818-9330-4224-907b-923dfe0302bb","BiomedicalConceptProperty_10","True","True","AERELNST"
"text","AEPATT","BiomedicalConceptProperty","7b5cc8bc-1639-4052-ab18-a5161e0da5b1","BiomedicalConceptProperty_11","True","True","AEPATT"
"text","AEOUT","BiomedicalConceptProperty","ca9a45c8-66ba-4f6c-b77c-a9cd7d734632","BiomedicalConceptProperty_12","True","True","AEOUT"
"text","AESCAN","BiomedicalConceptProperty","34079727-9cce-4839-9d8a-1e42b17bfebe","BiomedicalConceptProperty_13","True","True","AESCAN"
"text","AESCONG","BiomedicalConceptProperty","fc35d84c-4897-41f6-b6de-831f236253c9","BiomedicalConceptProperty_14","True","True","AESCONG"
"text","AESDISAB","BiomedicalConceptProperty","dee4f19e-c827-46be-9f21-3736ef9428d0","BiomedicalConceptProperty_15","True","True","AESDISAB"
"text","AESDTH","BiomedicalConceptProperty","c3193c70-cc0e-4855-a75f-d63b5152c273","BiomedicalConceptProperty_16","True","True","AESDTH"
"text","AESHOSP","BiomedicalConceptProperty","a4093184-b546-431f-9c62-277b13055235","BiomedicalConceptProperty_17","True","True","AESHOSP"
"text","AESLIFE","BiomedicalConceptProperty","fa7e3df1-079b-4c4d-b445-7e5f31f86b17","BiomedicalConceptProperty_18","True","True","AESLIFE"
"text","AESOD","BiomedicalConceptProperty","be4dc18e-66a5-4aa6-8ec2-da326e3a629e","BiomedicalConceptProperty_19","True","True","AESOD"
"text","AESMIE","BiomedicalConceptProperty","29997479-6b0a-48cd-9106-32cacbc57705","BiomedicalConceptProperty_20","True","True","AESMIE"
"text","AECONTRT","BiomedicalConceptProperty","4e42fa32-27c1-47dd-be29-5628ebcd01f7","BiomedicalConceptProperty_21","True","True","AECONTRT"
"datetime","AESTDTC","BiomedicalConceptProperty","740b8b9a-882c-4b9a-bc49-13dec56c55b5","BiomedicalConceptProperty_22","True","True","AESTDTC"
"datetime","AEENDTC","BiomedicalConceptProperty","2dd92294-5d82-4b48-9870-760c3ce96765","BiomedicalConceptProperty_23","True","True","AEENDTC"
"","VSTESTCD","BiomedicalConceptProperty","e3f851cb-4213-4036-9bc9-d0e3fd1f7ecd","BiomedicalConceptProperty_24","True","True","VSTESTCD"
"integer","VSORRES","BiomedicalConceptProperty","781409a7-52b0-4ffb-a575-8848e1fde9e9","BiomedicalConceptProperty_25","True","True","VSORRES"
