"maxValue","uuid:ID","instanceType","id","minValue","isApproximate"
"300.0","503f219e-855d-4442-a8a3-bf426e1bf683","Range","Range_2","300.0","False"
"300.0","0054c6d5-fd51-4d07-bfe5-d232616d4309","Range","Range_1","300.0","False"
"100.0","fdadd10a-e2dd-4a52-a004-bf07eee9deaa","Range","Range_3","50.0","False"
