"isEnabled","isRequired","uuid:ID","instanceType","datatype","name","id","label"
"True","True","22eab1a3-249a-4db3-bd51-f33e54b72fdf","BiomedicalConceptProperty","","LBORRESU","BiomedicalConceptProperty_157","LBORRESU"
"True","True","5ca6679a-bd3a-47c2-a1d7-2a6762f0feb0","BiomedicalConceptProperty","","LBSPEC","BiomedicalConceptProperty_158","LBSPEC"
"True","True","05f6f840-9f7d-42f6-9543-a8cd938b13a5","BiomedicalConceptProperty","","LBFAST","BiomedicalConceptProperty_159","LBFAST"
"True","True","2c68e4d0-1352-44ec-b179-53f257a16685","BiomedicalConceptProperty","","LBTESTCD","BiomedicalConceptProperty_160","LBTESTCD"
"True","True","acdf3501-6b3f-46e7-ace4-ce43241e519e","BiomedicalConceptProperty","float","LBORRES","BiomedicalConceptProperty_161","LBORRES"
"True","True","bc7c1375-b681-42b6-9e8c-2ab60e37ce92","BiomedicalConceptProperty","","LBORRESU","BiomedicalConceptProperty_162","LBORRESU"
"True","True","0440a6b8-3fe2-4987-a393-1b6e33f4d083","BiomedicalConceptProperty","","LBSPEC","BiomedicalConceptProperty_163","LBSPEC"
"True","True","a2d63ebf-e096-4184-a1a3-cc90d941f868","BiomedicalConceptProperty","","LBFAST","BiomedicalConceptProperty_164","LBFAST"
"True","True","adf19698-a5cf-4a79-9a9e-d886e114e7d9","BiomedicalConceptProperty","","LBTESTCD","BiomedicalConceptProperty_165","LBTESTCD"
"True","True","7904937e-317f-424e-a73e-1252bc6e97f5","BiomedicalConceptProperty","float","LBORRES","BiomedicalConceptProperty_166","LBORRES"
"True","True","07dde88f-08e1-4834-8f52-ff4487aaa590","BiomedicalConceptProperty","","LBORRESU","BiomedicalConceptProperty_167","LBORRESU"
"True","True","c1f35e15-1b95-4d31-90a6-3b9562475572","BiomedicalConceptProperty","","LBSPEC","BiomedicalConceptProperty_168","LBSPEC"
"True","True","c87d2c92-be8a-4c70-8bae-edbb9acb7011","BiomedicalConceptProperty","","LBFAST","BiomedicalConceptProperty_169","LBFAST"
"True","True","07a73028-b670-43da-b082-ed40d5fa2680","BiomedicalConceptProperty","text","AETERM","BiomedicalConceptProperty_1","AETERM"
"True","True","fbbfe289-a4eb-4958-b7c7-a2b161aaed6f","BiomedicalConceptProperty","text","AEDECOD","BiomedicalConceptProperty_2","AEDECOD"
"True","True","b03ac7f6-fedd-41b3-b196-450337048fbf","BiomedicalConceptProperty","text","AEPRESP","BiomedicalConceptProperty_3","AEPRESP"
"True","True","2d5977ae-d679-44dc-8b10-6c66a18a55db","BiomedicalConceptProperty","text","AELOC","BiomedicalConceptProperty_4","AELOC"
"True","True","f53649b6-ef3d-422f-ad18-7150cd46500f","BiomedicalConceptProperty","text","AESEV","BiomedicalConceptProperty_5","AESEV"
"True","True","6c68888d-eadb-4420-942d-5abbba045eb6","BiomedicalConceptProperty","text","AESER","BiomedicalConceptProperty_6","AESER"
"True","True","e2e203a5-fb75-4321-83c6-07b8ea044be8","BiomedicalConceptProperty","text","AEACN","BiomedicalConceptProperty_7","AEACN"
"True","True","8add6947-325b-4854-9914-73c6a2ad2817","BiomedicalConceptProperty","text","AEACNOTH","BiomedicalConceptProperty_8","AEACNOTH"
"True","True","fbfd766a-865c-4598-ac64-dd9cb7f1a824","BiomedicalConceptProperty","text","AEREL","BiomedicalConceptProperty_9","AEREL"
"True","True","dac2a477-8093-463e-860e-2f53d17bbbf0","BiomedicalConceptProperty","text","AERELNST","BiomedicalConceptProperty_10","AERELNST"
"True","True","c9d4d71a-4733-42fd-be71-7cdeead6129c","BiomedicalConceptProperty","text","AEPATT","BiomedicalConceptProperty_11","AEPATT"
"True","True","91dcf0fd-1734-40d7-b03e-5244347cc4d9","BiomedicalConceptProperty","text","AEOUT","BiomedicalConceptProperty_12","AEOUT"
"True","True","ba68b78a-38db-4b31-b915-bf1ee0e66f6f","BiomedicalConceptProperty","text","AESCAN","BiomedicalConceptProperty_13","AESCAN"
"True","True","7263202c-643c-4aab-a4c7-056a989e1396","BiomedicalConceptProperty","text","AESCONG","BiomedicalConceptProperty_14","AESCONG"
"True","True","06173563-b15f-4da8-ae9d-8c28265d6211","BiomedicalConceptProperty","text","AESDISAB","BiomedicalConceptProperty_15","AESDISAB"
"True","True","a95c1798-f321-48ea-92ce-084c7396d67e","BiomedicalConceptProperty","text","AESDTH","BiomedicalConceptProperty_16","AESDTH"
"True","True","18426a37-31ee-4d5f-b126-c149fe911818","BiomedicalConceptProperty","text","AESHOSP","BiomedicalConceptProperty_17","AESHOSP"
"True","True","1b7a7ba2-87f9-485e-886f-e024ed725fbb","BiomedicalConceptProperty","text","AESLIFE","BiomedicalConceptProperty_18","AESLIFE"
"True","True","fa58b6f9-7ad4-4ab2-a7b8-0f3bd67bc175","BiomedicalConceptProperty","text","AESOD","BiomedicalConceptProperty_19","AESOD"
