"uuid:ID","otherReason","instanceType","id"
"0520c099-982a-4796-8fb2-1f5cb43872ac","","StudyAmendmentReason","StudyAmendmentReason_1"
"6d161262-255e-4336-9491-0e42d8f94a12","Fix typographical errors","StudyAmendmentReason","StudyAmendmentReason_2"
