"id","otherReason","uuid:ID","instanceType"
"StudyAmendmentReason_1","","e9a8ac97-444e-4c76-9f9f-dfe788056ebb","StudyAmendmentReason"
"StudyAmendmentReason_2","Fix typographical errors","a1691f73-e5cb-409a-8a87-9a5b8b86439e","StudyAmendmentReason"
