"id","label","isEnabled","isRequired","datatype","instanceType","name","uuid:ID"
"BiomedicalConceptProperty_116","DSDECOD","True","True","text","BiomedicalConceptProperty","DSDECOD","0df1f1d1-f0f5-4d17-8b22-08624341742b"
"BiomedicalConceptProperty_117","DSTERM","True","True","text","BiomedicalConceptProperty","DSTERM","fd59c607-c33d-4a2a-8669-4d8a4e816c6a"
"BiomedicalConceptProperty_118","DSSTDTC","True","True","datetime","BiomedicalConceptProperty","DSSTDTC","61bfc3af-679b-48fb-b0fb-f85af60423ba"
"BiomedicalConceptProperty_119","Sex","True","True","string","BiomedicalConceptProperty","Sex","4322011c-e844-4216-a654-bba0d8d3231f"
"BiomedicalConceptProperty_120","Race","True","True","string","BiomedicalConceptProperty","Race","f9850bd1-18e0-42d5-b284-8b5d7fa9b4ff"
"BiomedicalConceptProperty_121","VSTESTCD","True","True","","BiomedicalConceptProperty","VSTESTCD","0cd53b20-c444-4620-820d-10b2767cfa46"
"BiomedicalConceptProperty_122","VSORRES","True","True","float","BiomedicalConceptProperty","VSORRES","ad4c1051-b36a-4d1f-ba4b-67342327a04f"
"BiomedicalConceptProperty_123","VSORRESU","True","True","","BiomedicalConceptProperty","VSORRESU","1ca9c981-0dbb-4500-acec-97c4923db0f1"
"BiomedicalConceptProperty_124","VSLOC","True","True","","BiomedicalConceptProperty","VSLOC","8237d22e-0e8d-4aca-8dea-a7686c2986d6"
"BiomedicalConceptProperty_125","VSTESTCD","True","True","","BiomedicalConceptProperty","VSTESTCD","b6dd3894-84e3-4cf6-ab99-ca591bc36ba4"
"BiomedicalConceptProperty_126","VSORRES","True","True","float","BiomedicalConceptProperty","VSORRES","9a11c7f1-1f5c-49fa-b768-c6e8b3370558"
"BiomedicalConceptProperty_127","VSORRESU","True","True","","BiomedicalConceptProperty","VSORRESU","e01eb11a-d7ed-40c3-a8aa-2349c30d9cbc"
"BiomedicalConceptProperty_128","VSTESTCD","True","True","","BiomedicalConceptProperty","VSTESTCD","7295a929-922d-4fa9-b5ba-d4abb2e1cddb"
