"isApproximate","id","minValue","maxValue","instanceType","uuid:ID"
"False","Range_2","300.0","300.0","Range","956bdb1f-42d4-43dd-84d4-e3fcce3d81bf"
"False","Range_1","300.0","300.0","Range","e8d6e06f-d08d-4074-8e74-4d991688a6fa"
"False","Range_3","50.0","100.0","Range","a2529808-9952-4ed3-aec5-f431d2dc22b5"
