"description","id","label","instanceType","name","uuid:ID"
"Dictionary for IE","SyntaxTemplateDictionary_1","IE Dictionary","SyntaxTemplateDictionary","IE_Dict","8c07d811-5fa5-4c43-9f36-a41622337cf8"
"Dictionary for Study Assessments","SyntaxTemplateDictionary_2","Assessment Dictionary","SyntaxTemplateDictionary","AS_Dict","10fff581-9b2b-4d73-80e2-1289a61eab5b"
