"minValue","uuid:ID","instanceType","maxValue","id","isApproximate"
"300.0","75510e76-637b-4fe5-b6a7-0e71846026bf","Range","300.0","Range_2","False"
"300.0","899c4e2f-2ea4-4169-b8f8-c7d34afd15fa","Range","300.0","Range_1","False"
"50.0","841e93c2-9694-40a5-9a49-2505f7c9f8c8","Range","100.0","Range_3","False"
