"isEnabled","name","label","uuid:ID","instanceType","id","datatype","isRequired"
"True","DSDECOD","DSDECOD","eef3cafb-3287-4897-b069-b4a62b5e8cf7","BiomedicalConceptProperty","BiomedicalConceptProperty_116","text","True"
"True","DSTERM","DSTERM","5ffc2fb3-1e52-4962-b441-09c7ba1c44f2","BiomedicalConceptProperty","BiomedicalConceptProperty_117","text","True"
"True","DSSTDTC","DSSTDTC","537e95d3-7670-48b9-a036-122521519ce8","BiomedicalConceptProperty","BiomedicalConceptProperty_118","datetime","True"
"True","Sex","Sex","0a888074-a239-4e62-aa3b-5327aa82a762","BiomedicalConceptProperty","BiomedicalConceptProperty_119","string","True"
"True","Race","Race","85596758-7228-48ab-9658-e1ce868b7cfe","BiomedicalConceptProperty","BiomedicalConceptProperty_120","string","True"
"True","VSTESTCD","VSTESTCD","a2a9d6f1-40f6-4a30-9b95-276203b4fa83","BiomedicalConceptProperty","BiomedicalConceptProperty_121","","True"
"True","VSORRES","VSORRES","b28bdf03-f9a7-4a45-8f12-9e963c5c47f5","BiomedicalConceptProperty","BiomedicalConceptProperty_122","float","True"
"True","VSORRESU","VSORRESU","669f29fe-094d-4280-9b8c-1d45a716bcfc","BiomedicalConceptProperty","BiomedicalConceptProperty_123","","True"
"True","VSLOC","VSLOC","e44dabaa-b153-4861-9409-baea94e1cfe0","BiomedicalConceptProperty","BiomedicalConceptProperty_124","","True"
"True","VSTESTCD","VSTESTCD","8eae01f2-59fb-4980-a04d-b9146d10d25a","BiomedicalConceptProperty","BiomedicalConceptProperty_125","","True"
"True","VSORRES","VSORRES","99962ff2-5343-4aeb-b538-0cf0e623a857","BiomedicalConceptProperty","BiomedicalConceptProperty_126","float","True"
"True","VSORRESU","VSORRESU","3eb25630-bdf2-4e51-85f1-4a1ae5539537","BiomedicalConceptProperty","BiomedicalConceptProperty_127","","True"
"True","VSTESTCD","VSTESTCD","81ef225c-7761-44dc-82c7-6411dc1f9ff5","BiomedicalConceptProperty","BiomedicalConceptProperty_128","","True"
"True","VSORRES","VSORRES","8df2f795-f894-463f-9f62-25653befa725","BiomedicalConceptProperty","BiomedicalConceptProperty_129","float","True"
"True","VSORRESU","VSORRESU","dea26bfd-4ba8-4a0f-a77f-ce831f14264b","BiomedicalConceptProperty","BiomedicalConceptProperty_130","","True"
"True","LBTESTCD","LBTESTCD","ddaf08cc-ec62-44ca-85fd-815d8996aaa7","BiomedicalConceptProperty","BiomedicalConceptProperty_131","","True"
"True","LBORRES","LBORRES","c3468250-1529-45bd-aa59-28e9258ab9dc","BiomedicalConceptProperty","BiomedicalConceptProperty_132","float","True"
"True","LBORRESU","LBORRESU","a10e17f2-2247-4a6b-b45c-0d0a303f9baf","BiomedicalConceptProperty","BiomedicalConceptProperty_133","","True"
"True","LBSPEC","LBSPEC","46c0cce9-8fcd-4474-80d5-76c499b32839","BiomedicalConceptProperty","BiomedicalConceptProperty_134","","True"
"True","LBFAST","LBFAST","216e8ba4-a25c-4ccc-80f9-4e29ebdd490c","BiomedicalConceptProperty","BiomedicalConceptProperty_135","","True"
"True","LBTESTCD","LBTESTCD","0285599f-5781-4d4e-80c3-f74355d6921a","BiomedicalConceptProperty","BiomedicalConceptProperty_136","","True"
"True","LBORRES","LBORRES","ac208295-daa8-46b8-b878-04ee65767952","BiomedicalConceptProperty","BiomedicalConceptProperty_137","text","True"
"True","LBSPEC","LBSPEC","888c1839-5f32-45f2-abec-d0b9bf2fd5c6","BiomedicalConceptProperty","BiomedicalConceptProperty_138","","True"
"True","LBFAST","LBFAST","c34383e9-83c4-4a78-b37c-b170ff9969a1","BiomedicalConceptProperty","BiomedicalConceptProperty_139","","True"
