"name","description","label","uuid:ID","instanceType","id"
"IE_Dict","Dictionary for IE","IE Dictionary","4276353b-84e0-4da2-af98-2489cffd5379","SyntaxTemplateDictionary","SyntaxTemplateDictionary_1"
"AS_Dict","Dictionary for Study Assessments","Assessment Dictionary","298a7366-ba2c-4218-8005-60c31847177f","SyntaxTemplateDictionary","SyntaxTemplateDictionary_2"
