"uuid:ID","instanceType","id","otherReason"
"e73b241f-e0b3-473f-8119-a6bed9a8c3ee","StudyAmendmentReason","StudyAmendmentReason_1",""
"ed531e09-18c1-4cbf-b0f7-9b67fc4b0079","StudyAmendmentReason","StudyAmendmentReason_2","Fix typographical errors"
