"uuid:ID","otherReason","id","instanceType"
"e9a413e3-7f0f-459b-a4fa-9405e5822635","","StudyAmendmentReason_1","StudyAmendmentReason"
"edacf706-3f5c-4ecf-8df5-11fd6bacd279","Fix typographical errors","StudyAmendmentReason_2","StudyAmendmentReason"
