"isRequired","uuid:ID","id","label","isEnabled","datatype","name","instanceType"
"True","8708297d-a089-4270-8aa5-9db09b31c1c6","BiomedicalConceptProperty_116","DSDECOD","True","text","DSDECOD","BiomedicalConceptProperty"
"True","790de2da-4128-4780-8db6-1507010ced0e","BiomedicalConceptProperty_117","DSTERM","True","text","DSTERM","BiomedicalConceptProperty"
"True","2ade4cfa-e8ea-496c-b3f4-f74bd55e6d75","BiomedicalConceptProperty_118","DSSTDTC","True","datetime","DSSTDTC","BiomedicalConceptProperty"
"True","875648e3-2a2f-4e1d-91e9-425fd6609285","BiomedicalConceptProperty_119","Sex","True","string","Sex","BiomedicalConceptProperty"
"True","a6bbc337-8c3e-4624-9b36-241722fad310","BiomedicalConceptProperty_120","Race","True","string","Race","BiomedicalConceptProperty"
"True","e4c64257-fd66-4475-9449-334bdbc7ad8c","BiomedicalConceptProperty_121","VSTESTCD","True","","VSTESTCD","BiomedicalConceptProperty"
"True","df9e5ee1-6a3f-46d0-8469-8d48fd4d9dcc","BiomedicalConceptProperty_122","VSORRES","True","float","VSORRES","BiomedicalConceptProperty"
"True","a32a0b1b-efa7-4468-9584-a81a2ff3bbc7","BiomedicalConceptProperty_123","VSORRESU","True","","VSORRESU","BiomedicalConceptProperty"
"True","2a834dff-7ff2-447f-848b-96da0cc70c92","BiomedicalConceptProperty_124","VSLOC","True","","VSLOC","BiomedicalConceptProperty"
"True","f1d559f0-cc06-48e4-b187-058b479bb4b3","BiomedicalConceptProperty_125","VSTESTCD","True","","VSTESTCD","BiomedicalConceptProperty"
"True","b83d63ab-a1cf-4b76-b9ae-6407fb156b2c","BiomedicalConceptProperty_126","VSORRES","True","float","VSORRES","BiomedicalConceptProperty"
"True","57102130-773b-4110-8b86-109d749353f3","BiomedicalConceptProperty_127","VSORRESU","True","","VSORRESU","BiomedicalConceptProperty"
"True","6b20a4ea-19a9-4ff1-8833-98e0b7b36b15","BiomedicalConceptProperty_128","VSTESTCD","True","","VSTESTCD","BiomedicalConceptProperty"
"True","92dd6683-7485-4e40-a130-d91b30d25a3d","BiomedicalConceptProperty_129","VSORRES","True","float","VSORRES","BiomedicalConceptProperty"
