"uuid:ID","id","label","description","name","instanceType"
"4b006b8c-a597-4408-86ce-f317cd42de26","SyntaxTemplateDictionary_1","IE Dictionary","Dictionary for IE","IE_Dict","SyntaxTemplateDictionary"
"9fde0a99-1b7f-43d3-838f-c0759a3b0df8","SyntaxTemplateDictionary_2","Assessment Dictionary","Dictionary for Study Assessments","AS_Dict","SyntaxTemplateDictionary"
