"uuid:ID","id","instanceType"
"2e399646-0f7b-407d-9a51-32f103e4391e","StudyCell_1","StudyCell"
"da8de458-df88-44b9-8fe1-268f34ff5339","StudyCell_2","StudyCell"
"9e3a3c36-8eda-4310-be82-2e4f0d5bc168","StudyCell_3","StudyCell"
"0d55ad3f-e941-4b51-9081-a1902f8e7c2e","StudyCell_4","StudyCell"
"d41bef88-a8a1-4899-92bd-c1ae6b2b6a76","StudyCell_5","StudyCell"
"800aeed3-f4c2-441d-8799-50afd33b48a1","StudyCell_6","StudyCell"
"067d0b0c-26ae-4b57-9470-29110a397ee6","StudyCell_7","StudyCell"
"c73d70d2-f5f4-42a3-a0fe-fa235d21ea2b","StudyCell_8","StudyCell"
"320ba0cc-56d8-488a-acdf-06b47883c6ee","StudyCell_9","StudyCell"
"ff71193b-4bfc-4c8d-b5a6-4419ce34cb61","StudyCell_10","StudyCell"
"7c8b4b57-7d61-417c-8103-147fa7f66db9","StudyCell_11","StudyCell"
"4f79d1a1-e9ea-4933-a71e-243463da40c5","StudyCell_12","StudyCell"
"3194092f-f9bc-4e8e-9870-e642a8c03fa9","StudyCell_13","StudyCell"
"74e5c4b2-7a28-4dee-b398-e812752953e6","StudyCell_14","StudyCell"
"7770650e-c36c-451b-9b39-3324abe0dfa2","StudyCell_15","StudyCell"
