"dateValue","uuid:ID","id","label","description","name","instanceType"
"2006-06-01","821ad860-372f-4b15-bbcb-1ff8ca722379","GovernanceDate_1","Design Approval","Design approval date","D_APPROVE","GovernanceDate"
"2006-07-01","e3965197-4c1b-47dc-bdc5-923a1b69165f","GovernanceDate_2","Protocol Approval","Protocol document approval date","P_APPROVE","GovernanceDate"
