"id","otherReason","instanceType","uuid:ID"
"StudyAmendmentReason_1","","StudyAmendmentReason","f48ecb2b-66fa-419a-b50b-11b9293d30ec"
"StudyAmendmentReason_2","Fix typographical errors","StudyAmendmentReason","4c36039f-aab0-4063-8b7b-cc2b85a3aaa4"
