"label","instanceType","uuid:ID","id","description","name","dateValue"
"Design Approval","GovernanceDate","ab320424-0377-4a0a-9631-d062e9538ebd","GovernanceDate_1","Design approval date","D_APPROVE","2006-06-01"
"Protocol Approval","GovernanceDate","0ffaf699-659b-4a0e-9b29-8140ebe42ccc","GovernanceDate_2","Protocol document approval date","P_APPROVE","2006-07-01"
