"isApproximate","instanceType","uuid:ID","id","maxValue","minValue"
"False","Range","3bb99c87-fca3-4648-9a76-e3bda5ae1d97","Range_2","300.0","300.0"
"False","Range","a6d5e98e-8361-45db-adcb-ffe0a52e7275","Range_1","300.0","300.0"
"False","Range","220a76ec-52a8-4486-8547-a8af5b1412c9","Range_3","100.0","50.0"
