"label","instanceType","uuid:ID","id","description","name"
"IE Dictionary","SyntaxTemplateDictionary","d75ae115-5d9c-4abd-8282-bc93fd0bdca4","SyntaxTemplateDictionary_1","Dictionary for IE","IE_Dict"
"Assessment Dictionary","SyntaxTemplateDictionary","02eb1489-05e1-4d0f-aff2-339bbc2e9991","SyntaxTemplateDictionary_2","Dictionary for Study Assessments","AS_Dict"
