"id","otherReason","instanceType","uuid:ID"
"StudyAmendmentReason_1","","StudyAmendmentReason","4d1a4f9a-072b-4516-bdbf-854c205fa967"
"StudyAmendmentReason_2","Fix typographical errors","StudyAmendmentReason","0fb96219-c379-4485-9405-887f7a5e1031"
