"instanceType","description","name","label","id","uuid:ID"
"SyntaxTemplateDictionary","Dictionary for IE","IE_Dict","IE Dictionary","SyntaxTemplateDictionary_1","2785f485-c43d-48bb-8f24-38d63a879325"
"SyntaxTemplateDictionary","Dictionary for Study Assessments","AS_Dict","Assessment Dictionary","SyntaxTemplateDictionary_2","3b6cf842-9d56-4fe4-a35d-bc78908e1f11"
